vin;time;mac_address;name;vehicle_speed;latitude;longitude;altitude;battery_voltage;humidity;low_battery;temperature
WSXFP10200LD10194;2024-08-12 09:01:11.055000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;8.63672;45.486254333333335;10.065891333333333;103.8;4250;;false;
WSXFP10200LD10194;2024-08-12 09:04:33.550000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;6.74609;45.486188166666665;10.065899999999997;95.3;2000;;false;
WSXFP10200LD10194;2024-08-12 09:11:35.810000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;4.50781;45.48630299999999;10.065812;104;2000;;false;
WSXFP10200LD10194;2024-08-12 09:15:08.094000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;3.83594;45.48620649999999;10.065924833333334;102.1;2000;;false;
WSXFP10200LD10194;2024-08-12 09:18:32.511000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;2.27344;45.4861445;10.065779666666668;94.4;4300;;false;
WSXFP10200LD10194;2024-08-12 09:22:00.763000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0.554688;45.486112333333324;10.0659775;97;4070;;false;
WSXFP10200LD10194;2024-08-12 09:25:32.495000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;6.66797;45.486235666666666;10.066022333333335;110.1;4300;;false;
WSXFP10200LD10194;2024-08-12 09:28:59.151000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;7.26172;45.486205500000004;10.066071166666667;110.5;4300;;false;
WSXFP10200LD10194;2024-08-12 09:32:42.828000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;5.60547;45.48620583333333;10.065949666666668;104.5;4300;;false;
WSXFP10200LD10194;2024-08-12 09:36:08.112000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;7.51563;45.48619466666667;10.065831833333334;119.6;2960;;false;
WSXFP10200LD10194;2024-08-12 09:39:21.423000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;6.85156;45.48626116666666;10.066052166666667;112;4250;;false;
WSXFP10200LD10194;2024-08-12 09:43:08.421000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0;45.486183166666656;10.065810333333335;106.1;2960;;false;
WSXFP10200LD10194;2024-08-12 09:43:34.744000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;5.08984;45.486152499999996;10.065968;103;4300;;false;
WSXFP10200LD10194;2024-08-12 09:45:27.437000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0;45.486277333333334;10.066290333333333;105.7;4200;;false;
WSXFP10200LD10194;2024-08-12 09:45:52.656000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0.636719;45.48625316666667;10.066281;108.7;2000;;false;
WSXFP10200LD10194;2024-08-12 09:49:26.734000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;1.89844;45.486181999999985;10.065763999999998;104.8;2000;;false;
WSXFP10200LD10194;2024-08-12 09:57:47.297000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;0;45.486224666666665;10.065901666666667;95.4;4320;;false;
WSXFP10200LD10194;2024-08-12 09:58:12.715000 +00:00;7C:D9:F4:03:0F:87;LamaTrincia;7.16016;45.486193500000006;10.065940000000001;100.6;2000;;false;
